Region,Year,Gender,Sat_Very,Sat_Somewhat,Sat_Neutral,Unsat_Somewhat,Unsat_Very,Satisfaction_Rate,Dissatisfaction_Rate,Avg_Satisfaction_Score,Suicide_Rate
대전광역시,2023,여자,14.3,34.7,40.7,8.6,1.6,49.0,10.2,3.5120000000000005,17.9
대전광역시,2024,여자,14.9,31.5,45.3,6.7,1.5,46.4,8.2,3.5129999999999995,20.8
울산광역시,2020,Total,11.5,29.2,48.4,9.4,1.4,40.7,10.8,3.397,26.4
울산광역시,2021,Total,13.2,23.3,39.6,18.3,5.6,36.5,23.9,3.2020000000000004,28.5
울산광역시,2022,Total,12.7,28.9,41.7,13.1,3.7,41.599999999999994,16.8,3.3409999999999997,26.3
울산광역시,2023,Total,11.0,30.4,41.4,14.0,3.2,41.4,17.2,3.3199999999999994,32.7
울산광역시,2024,Total,13.4,27.2,49.6,8.1,1.7,40.6,9.799999999999999,3.425,29.2
울산광역시,2020,남자,11.6,27.7,49.9,9.1,1.7,39.3,10.799999999999999,3.384,36.7
울산광역시,2021,남자,11.9,23.9,38.4,19.7,6.0,35.8,25.7,3.156999999999999,40.7
울산광역시,2022,남자,12.3,28.9,40.8,14.0,4.1,41.2,18.1,3.3160000000000003,36.1
울산광역시,2023,남자,9.8,34.6,38.2,13.9,3.5,44.400000000000006,17.4,3.333,46.8
울산광역시,2024,남자,14.7,25.8,49.9,7.9,1.7,40.5,9.6,3.4389999999999996,41.1
울산광역시,2020,여자,11.5,30.9,46.8,9.8,1.1,42.4,10.9,3.4220000000000006,15.6
울산광역시,2021,여자,14.6,22.6,40.8,16.7,5.3,37.2,22.0,3.245,15.5
울산광역시,2022,여자,13.1,29.0,42.7,12.1,3.2,42.1,15.3,3.37,16.1
울산광역시,2023,여자,12.3,25.8,44.8,14.1,3.0,38.1,17.1,3.3029999999999995,17.9
울산광역시,2024,여자,12.1,28.7,49.2,8.4,1.7,40.8,10.1,3.414,16.7
세종특별자치시,2020,Total,25.2,33.5,33.0,6.8,1.6,58.7,8.4,3.7420000000000004,18.4
세종특별자치시,2021,Total,16.0,30.1,34.8,15.0,4.1,46.1,19.1,3.3890000000000002,19.0
세종특별자치시,2022,Total,17.9,34.9,36.5,9.3,1.4,52.8,10.700000000000001,3.5860000000000003,23.3
세종특별자치시,2023,Total,15.9,37.4,35.1,9.3,2.2,53.3,11.5,3.552,20.0
세종특별자치시,2024,Total,16.5,26.3,36.4,17.4,3.4,42.8,20.799999999999997,3.3509999999999995,23.0
세종특별자치시,2020,남자,26.6,32.8,32.6,6.5,1.5,59.4,8.0,3.765,18.5
세종특별자치시,2021,남자,17.2,27.7,36.0,14.2,4.9,44.9,19.1,3.381,24.3
세종특별자치시,2022,남자,19.3,34.6,36.9,7.8,1.4,53.900000000000006,9.2,3.6260000000000003,34.0
세종특별자치시,2023,남자,16.7,36.1,35.9,9.0,2.2,52.8,11.2,3.5580000000000003,22.5
세종특별자치시,2024,남자,17.9,24.9,35.9,17.4,4.0,42.8,21.4,3.356,29.0
세종특별자치시,2020,여자,23.7,34.2,33.3,7.0,1.7,57.900000000000006,8.7,3.7089999999999996,18.4
세종특별자치시,2021,여자,14.8,32.5,33.5,15.9,3.3,47.3,19.2,3.3960000000000004,13.8
세종특별자치시,2022,여자,16.5,35.2,36.1,10.7,1.4,51.7,12.1,3.5439999999999996,12.7
세종특별자치시,2023,여자,15.2,38.6,34.3,9.7,2.2,53.8,11.899999999999999,3.549,17.6
세종특별자치시,2024,여자,15.2,27.6,36.9,17.5,2.8,42.8,20.3,3.349,16.9
경기도,2020,Total,15.2,29.1,43.3,9.8,2.6,44.3,12.4,3.445,23.7
경기도,2021,Total,10.0,23.3,41.0,20.5,5.2,33.3,25.7,3.1239999999999997,23.6
경기도,2022,Total,12.4,30.2,42.9,11.8,2.7,42.6,14.5,3.378,23.1
경기도,2023,Total,11.8,29.5,43.1,12.3,3.3,41.3,15.600000000000001,3.3420000000000005,25.1
경기도,2024,Total,10.3,25.4,51.4,10.7,2.3,35.7,13.0,3.3099999999999996,28.2
경기도,2020,남자,15.8,29.1,42.6,9.8,2.7,44.900000000000006,12.5,3.4550000000000005,32.3
경기도,2021,남자,10.4,22.7,41.1,20.4,5.5,33.1,25.9,3.1240000000000006,31.3
경기도,2022,남자,11.6,30.9,43.1,11.6,2.7,42.5,14.3,3.3679999999999994,31.4
경기도,2023,남자,12.2,29.2,43.1,11.7,3.7,41.4,15.399999999999999,3.342,35.1
경기도,2024,남자,10.5,25.6,51.9,10.0,2.1,36.1,12.1,3.3270000000000004,39.5
경기도,2020,여자,14.5,29.2,44.0,9.9,2.4,43.7,12.3,3.435,14.9
경기도,2021,여자,9.6,23.9,41.0,20.6,4.9,33.5,25.5,3.127,15.7
경기도,2022,여자,13.2,29.5,42.7,11.9,2.6,42.7,14.5,3.3850000000000007,14.6
경기도,2023,여자,11.5,29.7,43.1,12.9,2.8,41.2,15.7,3.3420000000000005,15.1
경기도,2024,여자,10.2,25.1,50.9,11.3,2.4,35.3,13.700000000000001,3.2910000000000004,16.7
강원특별자치도,2020,Total,13.9,31.9,42.3,9.4,2.5,45.8,11.9,3.4530000000000003,33.2
강원특별자치도,2021,Total,12.2,25.3,43.6,15.0,4.0,37.5,19.0,3.27,32.7
강원특별자치도,2022,Total,13.7,31.9,40.3,12.1,2.0,45.599999999999994,14.1,3.432,33.1
강원특별자치도,2023,Total,14.1,33.0,40.3,10.7,1.8,47.1,12.5,3.4659999999999997,34.7
강원특별자치도,2024,Total,12.1,30.1,47.7,8.5,1.7,42.2,10.2,3.427,34.3
강원특별자치도,2020,남자,13.8,33.1,42.2,8.4,2.5,46.900000000000006,10.9,3.4730000000000003,45.6
강원특별자치도,2021,남자,13.6,23.4,43.8,15.0,4.1,37.0,19.1,3.2710000000000004,45.4
강원특별자치도,2022,남자,15.5,31.8,39.0,11.8,1.9,47.3,13.700000000000001,3.472,47.5
강원특별자치도,2023,남자,15.7,33.2,39.1,10.4,1.6,48.900000000000006,12.0,3.5100000000000007,50.7
강원특별자치도,2024,남자,12.4,32.2,46.5,7.5,1.5,44.6,9.0,3.468,52.3
강원특별자치도,2020,여자,13.9,30.7,42.4,10.3,2.6,44.6,12.9,3.4270000000000005,20.7
강원특별자치도,2021,여자,10.8,27.2,43.3,14.9,3.8,38.0,18.7,3.263,19.9
강원특별자치도,2022,여자,11.9,32.0,41.5,12.5,2.1,43.9,14.6,3.391,18.5
강원특별자치도,2023,여자,12.5,32.9,41.5,11.1,2.0,45.4,13.1,3.428,18.6
